











1. python create_dataset_files.py

2. python main.py --data ./data/ISKG/ --epochs_gat 100 --epochs_conv 100 --weight_decay_gat 0.00001 --get_2hop True --partial_2hop True --batch_size_gat 1024 --margin 1 --out_channels 50 --drop_conv 0.3 --output_folder ./checkpoints/fb/out/







运行日志:

===============================================================================================

number of unique_entities -> 44039
number of unique_entities -> 4403
number of unique_entities -> 4439
Initialised relations and entities from TransE
Graph created
length of graph keys is  25837
time taken  2.133985757827759
length of neighbors dict is  14607
Total triples count 109992, training triples 101862, validation_triples 4065, test_triples 4065
Opening node_neighbors pickle object
Initial entity dimensions torch.Size([44039, 100]) , relation dimensions torch.Size([20, 100])
Defining model

Model type -> GAT layer with 2 heads used , Initital Embeddings training
length of unique_entities  44039
Number of epochs 100

epoch->  0
Iteration-> 60  , Iteration_time-> 0.2247 , Iteration_loss 0.1574
Iteration-> 61  , Iteration_time-> 0.2263 , Iteration_loss 0.1594
Iteration-> 62  , Iteration_time-> 0.2247 , Iteration_loss 0.1348
Iteration-> 63  , Iteration_time-> 0.2246 , Iteration_loss 0.1637
Iteration-> 64  , Iteration_time-> 0.2252 , Iteration_loss 0.1517
Iteration-> 65  , Iteration_time-> 0.2251 , Iteration_loss 0.1595
Iteration-> 66  , Iteration_time-> 0.2275 , Iteration_loss 0.1560
Iteration-> 67  , Iteration_time-> 0.2261 , Iteration_loss 0.1584
Iteration-> 68  , Iteration_time-> 0.2262 , Iteration_loss 0.1735
Iteration-> 69  , Iteration_time-> 0.2258 , Iteration_loss 0.1800
Iteration-> 70  , Iteration_time-> 0.2257 , Iteration_loss 0.1518
Iteration-> 71  , Iteration_time-> 0.2268 , Iteration_loss 0.1418
Iteration-> 72  , Iteration_time-> 0.2295 , Iteration_loss 0.1487
Iteration-> 73  , Iteration_time-> 0.2283 , Iteration_loss 0.1546
Iteration-> 74  , Iteration_time-> 0.2269 , Iteration_loss 0.1385
Iteration-> 75  , Iteration_time-> 0.2246 , Iteration_loss 0.1412
Iteration-> 76  , Iteration_time-> 0.2265 , Iteration_loss 0.1599
Iteration-> 77  , Iteration_time-> 0.2285 , Iteration_loss 0.1599
Iteration-> 78  , Iteration_time-> 0.2302 , Iteration_loss 0.1547
Iteration-> 79  , Iteration_time-> 0.2298 , Iteration_loss 0.1473
Iteration-> 80  , Iteration_time-> 0.2259 , Iteration_loss 0.1599
Iteration-> 81  , Iteration_time-> 0.2250 , Iteration_loss 0.1603
Iteration-> 82  , Iteration_time-> 0.2272 , Iteration_loss 0.1562
Iteration-> 83  , Iteration_time-> 0.2273 , Iteration_loss 0.1528
Iteration-> 84  , Iteration_time-> 0.2272 , Iteration_loss 0.1478
Iteration-> 85  , Iteration_time-> 0.2312 , Iteration_loss 0.1497
Iteration-> 86  , Iteration_time-> 0.2248 , Iteration_loss 0.1638
Iteration-> 87  , Iteration_time-> 0.2294 , Iteration_loss 0.1554
Iteration-> 88  , Iteration_time-> 0.2258 , Iteration_loss 0.1518
Iteration-> 89  , Iteration_time-> 0.2259 , Iteration_loss 0.1617
Iteration-> 90  , Iteration_time-> 0.2283 , Iteration_loss 0.1588
Iteration-> 91  , Iteration_time-> 0.2247 , Iteration_loss 0.1454
Iteration-> 92  , Iteration_time-> 0.2281 , Iteration_loss 0.1572
Iteration-> 93  , Iteration_time-> 0.2270 , Iteration_loss 0.1540
Iteration-> 94  , Iteration_time-> 0.2250 , Iteration_loss 0.1458
Iteration-> 95  , Iteration_time-> 0.2265 , Iteration_loss 0.1699
Iteration-> 96  , Iteration_time-> 0.2261 , Iteration_loss 0.1371
Iteration-> 97  , Iteration_time-> 0.2302 , Iteration_loss 0.1503
Iteration-> 98  , Iteration_time-> 0.2276 , Iteration_loss 0.1701
Iteration-> 99  , Iteration_time-> 0.2200 , Iteration_loss 0.1252
Epoch 2 , average loss 0.16446155369281767 , epoch_time 22.66469693183899

epoch->  3
Iteration-> 0  , Iteration_time-> 0.2255 , Iteration_loss 0.1315
Iteration-> 1  , Iteration_time-> 0.2254 , Iteration_loss 0.1466
Iteration-> 2  , Iteration_time-> 0.2279 , Iteration_loss 0.1343
Iteration-> 3  , Iteration_time-> 0.2271 , Iteration_loss 0.1353
